member,C1,C2,lambda_wm2k,gamma,sai_efficacy,sai_nonlinearity_alpha,lag_years,ar1_phi,noise_sigma_c,peak_sai_command_wm2,peak_realized_cooling_wm2,max_cap_exceedance_c,mean_cap_exceedance_c,raw_peak_annual_warming_jump_c_yr_including_ar1_noise,raw_peak_annual_cooling_jump_c_yr_including_ar1_noise,max_command_change_wm2_yr
89,6.8331677008087786,80.60617276115724,1.5176911916205027,0.7828109240241254,0.8712719513425371,0.11919943889256107,2,0.6458683379288935,0.1012768609774399,1.944787258714649,1.3755597083680573,0.32658995067402374,0.047640643733656854,0.2515173660489832,0.3406801660434666,0.20000000000000007
90,10.167368016130913,97.61157599351057,1.2397728973593132,0.5962638007678415,0.9565392742787578,0.12907907868964547,3,0.6453145658601916,0.1159949831000559,1.7593567374387682,1.3714441376720443,0.42364897037655513,0.03924344195600793,0.2631462029276517,0.3506146165877706,0.20000000000000007
91,8.21679372789981,112.54497688444256,1.6320572511361355,0.7196197008332335,1.0814067751652594,0.17053370429785902,1,0.6361239976025532,0.08661196047519532,1.7198378155146172,1.4380717511840218,0.375792303063021,0.04199624442049798,0.2138503671933908,0.28719030043051963,0.20000000000000007
92,6.2313816748516615,115.55412061470676,1.7050826019060408,0.48772251386287857,1.0331155332678792,0.191605660602043,3,0.6402350617501354,0.12467855224907275,1.7304366125776525,1.3425898920471162,0.4659435413149795,0.05513351530902661,0.33634093828624323,0.3349611523149678,0.20000000000000007
93,10.310542932323642,136.48494353357296,0.9459774869766604,0.8345529522465753,1.0290842198980172,0.08556386973724472,1,0.47157665601521304,0.0709608436404966,1.3519693143303337,1.2470337627964012,0.2578562215571336,0.02568486015919522,0.1884763307030337,0.22541146877031826,0.20000000000000007
94,6.013829563722655,106.22574888010729,0.8701822179535599,0.7172698987030591,1.0667866592497364,0.10092192922154858,3,0.6207595918899876,0.12893471422207403,1.6850386783613722,1.5363151010437688,0.3715190021618626,0.0292259186916914,0.4019035675450031,0.35944128234366435,0.20000000000000007
95,7.040863079477784,123.22167840732519,1.5469093297698273,0.7923230788658415,0.9254901512944407,0.07809960846458269,3,0.49058683204188,0.1281657771030476,2.0094276721581683,1.6074409481945875,0.4466809425189009,0.05189393386588765,0.3947123739973838,0.475391611592863,0.20000000000000018
96,6.283406697250235,98.90354308506119,1.175763525422528,0.9567118669500269,0.8306516242465659,0.06985570974644713,2,0.4241536703693782,0.10856122382275868,1.6872529372508112,1.2537473946590005,0.4821137634331998,0.04344737945250205,0.3516528190734314,0.31575122855193183,0.20000000000000007
97,11.663318816302422,102.61000180937859,1.4013819625174402,0.967028651458374,0.9519228833861125,0.14448277384238165,1,0.5472284811669218,0.08696359855519155,1.7827250144857218,1.3494378948433081,0.36521950983212825,0.04643585930862851,0.2055627507338068,0.3179383905128554,0.20000000000000007
98,10.303253884823315,124.1281407423161,1.6324274269197483,0.6813611541893415,0.7879446629595771,0.16550404903088445,3,0.5042452483720944,0.10801019096593631,2.123599094087909,1.2381227059452578,0.5219647773925693,0.06913746508221673,0.33859812653654786,0.35131751690466806,0.20000000000000018
99,8.597826674778533,72.18646268869091,0.8657910445822239,0.4314445903176647,0.7943304797407656,0.11578769600594757,1,0.3927900905200017,0.09801400640458388,1.4201459217527705,0.9687657793759027,0.26866976394123787,0.029168294577117317,0.32227262594580286,0.44705028632980714,0.20000000000000007
100,9.416341852645047,86.76505248719835,1.5422658765669315,0.6661178048652382,0.8484084429658311,0.21925681478867293,1,0.45877697734309986,0.09090290759260013,1.8519722361308364,1.117471258292757,0.3746311237271327,0.054975604953352464,0.23573513412009584,0.31131276473259295,0.20000000000000007
101,7.599361273429519,95.15667202451482,1.123163011545726,0.49300568709161446,0.9062723737902532,0.1741719640371245,3,0.4897127610581057,0.1172692213244805,1.6388622891170495,1.1554418353355562,0.42612681145809184,0.038050580981532786,0.3069801425066836,0.3207763916105042,0.20000000000000007
102,5.836216208795711,148.0024899155632,1.28939550709149,0.47221579143802067,0.9332535183548383,0.2001936949978078,2,0.5816015060089477,0.10231707449356789,1.757446345047863,1.213276355773849,0.5029781697070099,0.044026175878554556,0.22521575770527813,0.2634144134178473,0.20000000000000007
103,10.420054961566999,77.00074088442852,0.9632883029207406,0.5865977085059945,1.019647388333329,0.23342692339519927,1,0.6392500546845218,0.08400250238900005,1.3125153184304366,1.024438901058423,0.2631061640534256,0.02483634605702867,0.20251385516045195,0.1933555564279279,0.20000000000000007
104,8.42490614706486,85.95930872940755,1.6161660538629303,0.7372757436872432,0.8435558210587117,0.056235928884630276,3,0.6140264325628069,0.08345896548428024,2.2518064331371392,1.6860196635556728,0.3947722150644686,0.04835356914590618,0.2347680850864735,0.30842958974850476,0.20000000000000018
105,6.306517630339533,91.29813048049502,1.448506945441982,0.9561134947795055,0.7704271353688448,0.13478338169588186,3,0.34108469266376357,0.09224834202297097,2.031197387924874,1.2285479751908759,0.38838291996968977,0.057846487398289737,0.280907979340017,0.27653423903589913,0.20000000000000007
106,9.118727919206009,136.8038985063166,1.641331715968593,0.7004552820075602,0.8211843851541013,0.15752224862483552,1,0.6034496293132591,0.1121178896477373,1.9757642953818015,1.2373654545099977,0.42819623122314754,0.07119141112188364,0.277992584424235,0.3095324733837428,0.20000000000000007
107,11.580578591678861,101.58595845923801,0.9763679744711955,0.8832351065662389,0.8526728458712901,0.14775471338808904,1,0.3585402808123685,0.10880031391514496,1.7432900594153915,1.181997881850387,0.4192400387612998,0.04014256579085864,0.44608486451636453,0.4332172772963628,0.20000000000000007
108,5.145169343662946,127.86767633170388,1.261897805477516,0.4954598796025228,0.7947192705871088,0.05515880182244291,2,0.6812011101559395,0.07439092071452838,1.6220153642870532,1.183188827462357,0.24943136953185774,0.03765465402195808,0.15225144410598968,0.19648745893219566,0.20000000000000007
109,7.8851467935329635,106.22322091734358,1.529993063397882,0.8477176267718418,0.7510154214114461,0.06999986608282877,1,0.6076639051412016,0.0977302947653616,1.847832228321982,1.228806788672745,0.4339943147556313,0.05518958111111132,0.30163256399978,0.2399306796993954,0.20000000000000007
110,8.715872659875842,96.54154647056839,1.4115615673357174,0.5689438264978608,0.7710226424041121,0.1661130650805939,2,0.4825901755613896,0.12302337149824139,2.234313271292565,1.2563963453118336,0.44680854576042917,0.06048359924398195,0.29116815900602044,0.5170877354012106,0.20000000000000018
111,11.17694403210806,114.08755055365803,0.8510221414860846,0.46952072429770175,0.8085250160300237,0.22671915538430595,1,0.4483988682279469,0.11384185850636222,1.6442670183956503,0.9684176659515177,0.37300354780716827,0.03851262260507547,0.3417205893072689,0.2645620511520279,0.20000000000000007
112,9.52380808028667,87.80423971091656,1.4084698417536379,0.9707833960903347,1.081428888256171,0.04390917126987706,2,0.3362164941022583,0.09493371499774615,1.6805291552167805,1.6924833427270514,0.4770552027574402,0.03395074573573836,0.35336559761650777,0.31326527314098096,0.20000000000000007
113,10.996441414031757,131.0404694374806,1.4930844422018834,0.7236253672985151,0.8105726457024985,0.06631039427646937,1,0.3890281303933028,0.10279518880981392,1.8291182018886218,1.3222572005039412,0.3432083620699822,0.0525518589452375,0.3066232136967625,0.37516126888905355,0.20000000000000007
114,10.868719553151383,81.85169521636763,0.9447381143786604,0.8442789005453022,0.7655303184717666,0.04928835661251395,1,0.40608053570055036,0.10180642278123647,1.551354586506382,1.103250347141902,0.3828876534382122,0.037882036189171346,0.37056846956309675,0.2735848359630583,0.20000000000000007
115,10.500267887277328,114.01803941298544,0.8498937894576105,0.9234898913359221,0.81921588869898,0.09406800674050718,2,0.34899497221507403,0.10776534727123635,1.674521092499973,1.1851161399296277,0.3465368436855225,0.03328964519888582,0.34110085246748734,0.3201886734597159,0.20000000000000007
116,9.99892269561268,131.1233595993454,1.3210143738733502,0.5507764779965442,1.059599900044884,0.23059636329433925,1,0.44646995909071807,0.07223675085745171,1.7014217594568801,1.2948160389732046,0.3805736850924295,0.036480777093257415,0.17660095049501512,0.25315163732186585,0.20000000000000007
117,11.690384709523357,142.92364854696726,1.7754203974057925,0.4088225401805788,0.9293725559393945,0.046192343693457955,3,0.4338331040383833,0.09243722987150932,1.9988929670406914,1.7006858978462,0.4154118587320039,0.04641687867506146,0.26914241301990405,0.2714559439033484,0.20000000000000007
118,7.625705615829888,78.91050024736434,1.1979573053027552,0.7038656832009356,1.0963670043185672,0.15594216184643078,3,0.531008665564378,0.09728161839702845,1.7585068814467806,1.5130517529111993,0.35280363349747845,0.029320115209680607,0.23080471529863977,0.26864692353309627,0.20000000000000007
119,11.824664160733624,75.719024550325,1.3748349424201347,0.7307873107469592,0.9974233552918499,0.0812453616005207,3,0.46006704139886345,0.08954469902887575,1.4824137026141126,1.3196557206808128,0.31281494013506483,0.034203183919658244,0.2424542275266408,0.258041333809072,0.20000000000000007
120,10.54719001071419,142.05398543873275,1.3919800528306547,0.49626551357255927,1.0587235887721915,0.15816845467759677,3,0.6560752529854326,0.07928196543190494,1.5241481067719835,1.3002076893350143,0.25212208049748197,0.033342574405899064,0.16054137464164686,0.20001228464266463,0.20000000000000007
121,7.651725997926606,111.09733048425274,0.8384506008661443,0.4559818332756831,0.8049543472703611,0.1071018481752051,2,0.48545330527504227,0.12813117834344329,1.6500201098242095,1.1287227471533103,0.3892654251762466,0.033783719113166785,0.3216835705440215,0.37258366524812325,0.20000000000000007
122,5.559065078161737,93.24029881974064,1.2012597699000236,0.40171843799025564,1.0568622965659928,0.15557479629337861,3,0.6925479645358985,0.08674405583066158,1.3695663137036707,1.1932064920280068,0.26319389172934193,0.026062503314784415,0.2827319116624524,0.20484404434764314,0.20000000000000007
123,5.686828704229136,146.26347124207945,1.4655903904179381,0.40433774533130284,1.0272574094545817,0.22404118523241773,1,0.4968842565561097,0.12488826558980815,1.4727845326183553,1.137570924789112,0.32471854855688953,0.04544973602456395,0.37203043797407553,0.3179492963023631,0.20000000000000007
124,8.237538754596727,117.92281186235641,1.41763133470578,0.48722801937929555,0.9397457293048195,0.09689733408918576,2,0.4454652036038277,0.1168780227306248,1.5711238254642361,1.2813822114171824,0.5325933506867846,0.040412828869497555,0.33422207322121633,0.3541029606844682,0.20000000000000007
125,10.34858920949925,90.6112340651102,1.4976997381382828,0.5009877199819078,0.8291153115193961,0.14566553820360734,3,0.6000970357959771,0.07583181450045201,1.9413492000050938,1.2547691069765254,0.35159366373099044,0.04898163937484814,0.20432699151123224,0.19554605497275124,0.20000000000000007
