year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,sai_realized_forcing_wm2
2103,351.1946385594372,1.5333716665399073,1.0,1.0569521953908347,0.8847609769541737,-0.7842756877226214
2104,350.3355384096521,1.5411993223240286,1.0,1.0640515858158368,0.920257929079184,-0.7998408231792998
2105,349.48378952677666,1.542589162161556,1.0,1.0605594183503193,0.9027970917515965,-0.8287394437671022
2106,348.6552659245392,1.5303498132773157,1.0,1.0465679589097603,0.8328397945488014,-0.8145520636539507
2107,347.83320827956925,1.5285622022835097,1.0,1.0514777031038869,0.8573885155194344,-0.7571678523208946
2108,347.0208914164592,1.5082734527584991,1.0,1.0329540601454337,0.7647703007271683,-0.7774040400196802
2109,346.1939509380624,1.50331163340197,1.0,1.0400494116718835,0.8002470583594173,-0.7004850786194824
2110,345.36222769420567,1.5053301740022125,1.0,1.0464025895308104,0.8320129476540522,-0.7301326752862297
2111,344.5359334938229,1.5070920748429102,1.0,1.0473534945828078,0.836767472914039,-0.7564843725362762
2112,343.7200931959244,1.499418822064934,1.0,1.0383280714204828,0.7916403571024139,-0.7604128265997988
2113,342.92032016491413,1.4995923543872445,1.0,1.0426674056820793,0.8133370284103963,-0.7229613147014368
2114,342.111342955904,1.4913531251082404,1.0,1.0346855272971036,0.773427636485518,-0.741013757141075
2115,341.2949734558657,1.496089972358969,1.0,1.0441685844706026,0.8208429223530128,-0.7077412403165546
2116,340.50201088711805,1.480334145900421,1.0,1.026035207532379,0.7301760376618954,-0.7472390191335947
2117,339.72150961948483,1.471446881923218,1.0,1.0260685165585532,0.7303425827927662,-0.6713514671614425
2118,338.9234936751794,1.4720376711831138,1.0,1.0329498309702778,0.7647491548513891,-0.671492256150859
2119,338.13814810374447,1.4485023504820884,1.0,1.0096772378277572,0.648386189138786,-0.7004673382592201
2120,337.3559786540178,1.4384565944217984,1.0,1.0137743321113928,0.6688716605569639,-0.6015794892397218
2121,336.5758836900945,1.459685157408357,1.0,1.0426194931565795,0.8130974657828977,-0.619173914438111
2122,335.8141633999215,1.4408164233724186,1.0,1.0117598398573204,0.6587991992866021,-0.7408148996778273
2123,335.0321679386846,1.4445371479015807,1.0,1.0251996286448983,0.7259981432244916,-0.6105329639518551
2124,334.26597808027714,1.4422618938312246,1.0,1.0216581336087251,0.7082906680436257,-0.6678179888356961
2125,333.5089023615733,1.4478871070256676,1.0,1.02834968616176,0.7417484308088002,-0.6528055394471164
2126,332.7493794235512,1.4220007688727447,1.0,0.9990395127956424,0.5999711853838693,-0.6811218988494677
2127,331.9961437209261,1.4150957512961462,1.0,1.006835630898195,0.6341781544909747,-0.5596764184768732
2128,331.24172736522786,1.411818421022885,1.0,1.0098779603234993,0.6493898016174965,-0.5893293765240165
2129,330.490961165181,1.4029449725458862,1.0,1.003591757894041,0.6179587894702049,-0.6024433347043626
2130,329.74220366136643,1.3976592862654664,1.0,1.0039308064866086,0.619654032433043,-0.5752975669065201
2131,328.99506609094794,1.3906528930354027,1.0,1.0006771333004494,0.6033856665022469,-0.5767665464773803
2132,328.25666767408546,1.3920512795622937,1.0,1.0066962289872516,0.6334811449362582,-0.5626465247045627
2133,327.5360921759892,1.4073095485349112,1.0,1.0214681520668738,0.707340760334369,-0.5887274186310838
2134,326.8225786129552,1.3977660158486147,1.0,1.0024086526800398,0.6120432634001988,-0.6519985429237396
2135,326.08065099936607,1.4003069669295494,1.0,1.009584353840086,0.6479217692004297,-0.5701672224954087
2136,325.37731756317453,1.3844035359245612,1.0,0.9924991364826494,0.5997749740944794,-0.6011796809052892
2137,324.6538632860047,1.3802280036443932,1.0,0.9932919779540444,0.5995737334331008,-0.559505673961745
2138,323.9428422026162,1.364745412987865,1.0,0.9813302218632616,0.5990136400889986,-0.5593305450582512
2139,323.23800539570215,1.3649788162362868,1.0,0.9840787886534526,0.5985360037486022,-0.55884308445784
2140,322.53232577448034,1.3396661549662416,1.0,0.9605416448059407,0.5973522530927803,-0.5584273395638228
2141,321.8386978781396,1.3305548464821126,1.0,0.9527573735994361,0.5959349743007634,-0.5573967859764177
2142,321.1399807413744,1.3377212484765155,1.0,0.9609551973619254,0.5947636302216212,-0.5561625672726057
2143,320.45198606793633,1.3166991753626025,1.0,0.9407203267596169,0.5929852400244097,-0.5551422218432842
2144,319.7635784409158,1.3178432538674425,1.0,0.9425507835441699,0.5912617635307348,-0.5535925730478672
2145,319.0638488247669,1.325747485042977,1.0,0.9510624945099071,0.5897936383660322,-0.5520901855242083
2146,318.38381900747527,1.32454802160015,1.0,0.9503825248523452,0.5883051141116025,-0.5508099348997131
2147,317.70910934547896,1.305765971119425,1.0,0.932059633931781,0.5862669031295559,-0.5495114654641406
2148,317.03256645606484,1.2955224761157094,1.0,0.9223010389272626,0.5839359342973738,-0.5477327903225654
2149,316.3604132387955,1.2976693290970491,1.0,0.924989232609051,0.5816856112756453,-0.5456976390154882
2150,315.680385445181,1.280067516810807,1.0,0.9079610257778526,0.5789244420489809,-0.5437318893074233
2151,315.0209026776864,1.256280785757974,1.0,0.8848364407130398,0.575469535270372,-0.5413185381300554
2152,314.35940488110043,1.2639546180938477,1.0,0.8933249546707133,0.5722692839104935,-0.5382967309207117
2153,313.7197960089384,1.2748310299977506,1.0,0.9050968206946866,0.5694221885313341,-0.5354955643338632
2154,313.06230356889847,1.2634828642879434,1.0,0.8946602981833194,0.5662619974768336,-0.5330018209276753
2155,312.6155514674147,1.2752497862894046,1.0,0.9073914078567287,0.5634837397125355,-0.5302319716310109
2156,312.1742286704877,1.2793991435488614,1.0,0.9124969529529734,0.5608586483011248,-0.5277952544583678
