tau_years,year,global_cooling_c,geomip_implied_injection_center_tgso2yr,geomip_implied_injection_low_tgso2yr,geomip_implied_injection_high_tgso2yr,geomip_precip_response_scale_center_mmday,geomip_precip_response_scale_low_mmday,geomip_precip_response_scale_high_mmday
1.0,2271,0.08856102512448849,0.8051002284044408,0.7380085427040708,0.8856102512448849,-0.00695836625978124,-0.009488681263338053,-0.004428051256224425
1.0,2272,0.08791603865967756,0.7992367150879779,0.7326336554973131,0.8791603865967756,-0.00690768875183181,-0.009419575570679739,-0.004395801932983879
1.0,2273,0.08734431541138343,0.7940392310125767,0.727869295094862,0.8734431541138343,-0.006862767639465842,-0.009358319508362512,-0.0043672157705691725
1.0,2274,0.08682626000304161,0.7893296363912874,0.7235521666920135,0.8682626000304161,-0.00682206328595327,-0.00930281357175446,-0.004341313000152082
1.0,2275,0.0863476265891786,0.7849784235379873,0.7195635549098217,0.863476265891786,-0.006784456374864034,-0.009251531420269138,-0.004317381329458931
1.0,2276,0.08589806458014604,0.7808914961831458,0.7158172048345504,0.8589806458014604,-0.006749133645582904,-0.009203364062158504,-0.004294903229007303
1.0,2277,0.0854700554807234,0.7770005043702127,0.7122504623393616,0.854700554807234,-0.006715504359199697,-0.009157505944363221,-0.00427350277403617
1.0,2278,0.08505813835453224,0.7732558032230203,0.708817819621102,0.8505813835453224,-0.00668313944214182,-0.009113371966557027,-0.004252906917726613
1.0,2279,0.08465834654420534,0.7696213322200486,0.7054862212017112,0.8465834654420534,-0.006651727228473278,-0.009070537129736288,-0.004232917327210268
1.0,2280,0.08426779838832998,0.7660708944393635,0.7022316532360833,0.8426779838832998,-0.006621041301940214,-0.009028692684463928,-0.0042133899194165
1.0,2281,0.08388439996621322,0.762585454238302,0.6990366663851102,0.8388439996621322,-0.0065909171402024685,-0.008987614282094275,-0.0041942199983106615
1.0,2282,0.08350662925528518,0.7591511750480471,0.6958885771273765,0.8350662925528518,-0.006561235155772408,-0.008947138848780557,-0.00417533146276426
1.0,2283,0.08313337942167087,0.7557579947424625,0.6927781618472573,0.8313337942167087,-0.006531908383131284,-0.008907147795179022,-0.004156668971083545
1.0,2284,0.08276384505013756,0.752398591364887,0.6896987087511464,0.8276384505013756,-0.0065028735396536665,-0.008867554826800454,-0.004138192252506879
1.0,2285,0.08239743955017409,0.74906763227431,0.6866453295847841,0.8239743955017409,-0.006474084536085108,-0.00882829709466151,-0.004119871977508706
1.0,2286,0.08203373519596446,0.7457612290542224,0.6836144599663706,0.8203373519596446,-0.006445507765397209,-0.008789328770996193,-0.004101686759798224
1.0,2287,0.08167241959802107,0.7424765418001916,0.6806034966501756,0.8167241959802107,-0.006417118682701657,-0.008750616385502258,-0.004083620979901055
1.0,2288,0.08131326410359863,0.7392114918508966,0.6776105341966553,0.8131326410359863,-0.006388899322425607,-0.008712135439671281,-0.004065663205179932
1.0,2289,0.08095610085688609,0.735964553244419,0.6746341738073841,0.8095610085688609,-0.006360836495898194,-0.008673867948952082,-0.004047805042844305
1.0,2290,0.08060080614579634,0.7327346013254213,0.6716733845483029,0.8060080614579634,-0.006332920482884,-0.00863580065847818,-0.004030040307289818
1.0,2291,0.08024728831252248,0.7295208028411134,0.668727402604354,0.8024728831252248,-0.0063051440816981955,-0.008597923747770266,-0.004012364415626125
1.0,2292,0.07989547897716631,0.7263225361560574,0.6657956581430526,0.7989547897716631,-0.006277501919634497,-0.008560229890410677,-0.003994773948858317
1.0,2293,0.0795453266664935,0.7231393333317591,0.6628777222207792,0.795453266664935,-0.006249989952367347,-0.008522713571410018,-0.003977266333324675
1.0,2294,0.07919679218869113,0.7199708380790103,0.6599732682390929,0.7919679218869113,-0.006222605100540019,-0.00848537059164548,-0.003959839609434557
1.0,2295,0.07884984527563699,0.7168167752330635,0.6570820439636416,0.7884984527563699,-0.006195344985942907,-0.008448197708103964,-0.00394249226378185
1.0,2296,0.0785044621453197,0.7136769285938155,0.6542038512109976,0.785044621453197,-0.006168207739989406,-0.008411192372712826,-0.003925223107265985
1.0,2297,0.07816062373224142,0.7105511248385583,0.6513385311020119,0.7816062373224142,-0.006141191864676113,-0.008374352542740153,-0.0039080311866120715
1.0,2298,0.07781831440274434,0.7074392218431304,0.6484859533562028,0.7781831440274434,-0.006114296131644199,-0.008337676543151179,-0.0038909157201372177
1.0,2299,0.07747752102236716,0.7043411002033378,0.6456460085197263,0.7747752102236716,-0.006087519508900277,-0.008301162966682195,-0.0038738760511183587
1.0,2300,0.07713823227875738,0.7012566570796125,0.6428186023229782,0.7713823227875738,-0.006060861107616652,-0.008264810601295434,-0.00385691161393787
1.5,2026,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2027,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2028,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2029,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2030,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2031,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2032,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2033,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2034,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2035,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2036,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
1.5,2037,0.012956670641055323,0.11778791491868476,0.1079722553421277,0.12956670641055323,-0.0010180241217972042,-0.0013882147115416418,-0.0006478335320527663
1.5,2038,0.03951279860633483,0.35920726005758935,0.32927332171945695,0.3951279860633483,-0.00310457703335488,-0.004233514136393018,-0.001975639930316742
1.5,2039,0.07203919495410127,0.6549017723100116,0.6003266246175106,0.7203919495410127,-0.0056602224606793865,-0.007718485173653708,-0.003601959747705064
1.5,2040,0.10245197896264568,0.9313816269331426,0.8537664913553807,1.0245197896264568,-0.00804979834706502,-0.010976997745997752,-0.005122598948132285
1.5,2041,0.1258766116683414,1.1443328333485583,1.048971763902845,1.258766116683414,-0.00989030520251254,-0.01348677982160801,-0.006293830583417072
1.5,2042,0.1431773637271323,1.3016123975193845,1.1931446977261027,1.431773637271323,-0.011249650007131825,-0.015340431827907033,-0.007158868186356616
1.5,2043,0.15618858792316392,1.4198962538469448,1.301571566026366,1.5618858792316392,-0.012271960479677168,-0.016734491563196136,-0.007809429396158198
1.5,2044,0.16534099007223158,1.5030999097475597,1.3778415839352631,1.6534099007223158,-0.012991077791389626,-0.01771510607916767,-0.00826704950361158
1.5,2045,0.18099884160160373,1.645444014560034,1.5083236800133646,1.8099884160160373,-0.014221337554411724,-0.01939273302874326,-0.009049942080080189
1.5,2046,0.20047674255363912,1.8225158413967193,1.670639521280326,2.004767425536391,-0.015751744057785934,-0.021479650987889908,-0.010023837127681958
1.5,2047,0.2261362223347172,2.0557838394065198,1.8844685194559767,2.261362223347172,-0.017767846040584925,-0.02422888096443399,-0.011306811116735862
1.5,2048,0.25045328967599056,2.2768480879635504,2.0871107472999215,2.5045328967599056,-0.019678472760256405,-0.026834281036713276,-0.012522664483799531
1.5,2049,0.2771638338227098,2.519671216570089,2.3096986151892485,2.771638338227098,-0.021777158371784348,-0.029696125052433197,-0.013858191691135493
1.5,2050,0.30209218014696715,2.7462925467906105,2.5174348345580597,3.0209218014696715,-0.023735814154404566,-0.03236701930146077,-0.01510460900734836
1.5,2051,0.323535475593286,2.9412315963026,2.6961289632773835,3.23535475593286,-0.025420644510901046,-0.03466451524213779,-0.016176773779664304
1.5,2052,0.34376605585355713,3.125145962305065,2.8647171321129763,3.4376605585355713,-0.027010190102779493,-0.03683207741288112,-0.01718830279267786
1.5,2053,0.35793963689181685,3.253996699016517,2.982830307431807,3.5793963689181685,-0.028123828612928472,-0.038350675381266096,-0.017896981844590844
1.5,2054,0.37124102664884306,3.3749184240803913,3.0936752220736925,3.7124102664884306,-0.029168937808123387,-0.03977582428380462,-0.018562051332442157
1.5,2055,0.38421077270087145,3.492825206371559,3.201756439173929,3.8421077270087145,-0.030187989283639905,-0.04116543993223623,-0.019210538635043576
1.5,2056,0.39855600634983945,3.623236421362177,3.321300052915329,3.9855600634983945,-0.03131511478463025,-0.042702429251768516,-0.019927800317491976
1.5,2057,0.41309360829063735,3.755396439005794,3.4424467357553112,4.1309360829063735,-0.03245735493712151,-0.04426002945971115,-0.020654680414531872
1.5,2058,0.4363328705420313,3.9666624594730115,3.6361072545169275,4.3633287054203125,-0.03428329697115961,-0.04674995041521764,-0.021816643527101567
1.5,2059,0.4579076843473495,4.16279713043045,3.815897369561246,4.579076843473495,-0.03597846091300604,-0.049061537608644595,-0.02289538421736748
1.5,2060,0.4750556277245901,4.318687524769,3.9587968977049175,4.7505562772459005,-0.037325799321217795,-0.05089881725620608,-0.02375278138622951
1.5,2061,0.49175751123419675,4.470522829401789,4.097979260284973,4.917575112341967,-0.03863809016840118,-0.052688304775092516,-0.024587875561709844
