tau_years,year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,aerosol_reservoir_magnitude_wm2,sai_realized_forcing_wm2
0.67,2116,340.50201088711805,1.480334145900421,1.0,1.0268606216960905,0.7343031084804524,0.7368103651789427,-0.7368103651789427
0.67,2117,339.72150961948483,1.471446881923218,1.0,1.0241852887653131,0.7209264438265656,0.6887700755001034,-0.6887700755001034
0.67,2118,338.9234936751794,1.4720376711831138,1.0,1.0319096243159307,0.7595481215796535,0.6691995022553605,-0.6691995022553605
0.67,2119,338.13814810374447,1.4485023504820884,1.0,1.0104099920506096,0.6520499602530477,0.690053826386605,-0.690053826386605
0.67,2120,337.3559786540178,1.4384565944217984,1.0,1.0111199839154519,0.6555999195772594,0.6239125520083995,-0.6239125520083995
0.67,2121,336.5758836900945,1.459685157408357,1.0,1.0417974687873175,0.8089873439365874,0.6114099695278586,-0.6114099695278586
0.67,2122,335.8141633999215,1.4408164233724186,1.0,1.0156955637758904,0.6784778188794521,0.7090784285405239,-0.7090784285405239
0.67,2123,335.0321679386846,1.4445371479015807,1.0,1.0230350603092384,0.715175301546192,0.6457589854986626,-0.6457589854986626
0.67,2124,334.26597808027714,1.4422618938312246,1.0,1.0218078836612856,0.709039418306428,0.6557515632571029,-0.6557515632571029
0.67,2125,333.5089023615733,1.4478871070256676,1.0,1.0282952305092345,0.7414761525461727,0.6539608233360954,-0.6539608233360954
0.67,2126,332.7493794235512,1.4220007688727447,1.0,0.999899104179768,0.599996973125393,0.6748380655778357,-0.6748380655778357
0.67,2127,331.9961437209261,1.4150957512961462,1.0,1.003762586779447,0.6188129338972354,0.5855823295678622,-0.5855823295678622
0.67,2128,331.24172736522786,1.411818421022885,1.0,1.0092334269795908,0.6461671348979542,0.5781834083208534,-0.5781834083208534
0.67,2129,330.490961165181,1.4029449725458862,1.0,1.0042084776243996,0.6210423881219979,0.5948388382530625,-0.5948388382530625
0.67,2130,329.74220366136643,1.3976592862654664,1.0,1.003456211442371,0.6172810572118553,0.5817615087107653,-0.5817615087107653
0.67,2131,328.99506609094794,1.3906528930354027,1.0,1.0003986145685873,0.6019930728429362,0.5762952951301453,-0.5762952951301453
0.67,2132,328.25666767408546,1.3920512795622937,1.0,1.006188707317607,0.630943536588035,0.5647759607334175,-0.5647759607334175
0.67,2133,327.5360921759892,1.4073095485349112,1.0,1.0221097735146663,0.7105488675733312,0.5816435925042839,-0.5816435925042839
0.67,2134,326.8225786129552,1.3977660158486147,1.0,1.0048328463211695,0.6241642316058477,0.6382948832946675,-0.6382948832946675
